"city","population","violent","murder","rape","robbery","Aggravatedassault","Propertycrime","burglary","Larceny-theft","Motorvehicletheft","arson"
"Adelanto","33,693","238","2","28","48","160","578","190","290","98","13"
"Agoura Hills","20,814","16","0","2","4","10","278","71","187","20","4"
"Alameda","79,761","253","0","16","133","104","2,347","219","1,725","403","25"
"Albany","19,880","36","0","1","28","7","523","77","383","63","3"
"Alhambra","85,865","172","4","17","89","62","1,877","363","1,244","270","12"
"Aliso Viejo","51,984","44","0","4","8","32","394","62","299","33","3"
"Alturas","2,491","39","2","2","3","32","129","31","88","10","2"
"American Canyon","20,593","49","0","5","14","30","413","85","272","56","2"
"Anaheim","353,400","1,253","10","115","480","648","9,296","1,351","6,393","1,552","45"
"Anderson","10,281","43","0","6","3","34","492","124","267","101","4"
"Angels Camp","3,779","7","0","1","0","6","57","13","36","8","0"
"Antioch","112,252","607","10","51","230","316","3,838","589","2,261","988","75"
"Apple Valley","73,105","231","4","19","63","145","1,565","299","986","280","7"
"Arcadia","58,883","110","0","7","56","47","1,534","485","957","92","0"
"Arcata","18,054","64","1","7","20","36","705","107","487","111","17"
"Arroyo Grande","18,239","32","0","3","5","24","311","53","226","32","2"
"Artesia","16,933","103","2","2","31","68","460","153","236","71","2"
"Arvin","21,390","229","6","8","23","192","453","72","242","139","5"
"Atascadero","30,661","107","0","8","18","81","518","96","395","27","3"
"Atherton","7,256","4","0","3","0","1","75","12","61","2","0"
"Atwater","29,442","188","0","7","23","158","951","185","649","117","7"
"Auburn","14,069","54","2","5","5","42","271","58","175","38","3"
"Avalon","3,773","20","0","4","0","16","58","13","35","10","0"
"Avenal","12,054","66","1","8","5","52","149","62","65","22","4"
"Azusa","50,202","147","1","16","44","86","1,203","251","729","223","14"
"Bakersfield","381,154","1,827","41","92","753","941","15,507","3,667","9,063","2,777","269"
"Baldwin Park","76,636","348","3","26","89","230","1,405","290","788","327","6"
"Banning","31,247","151","3","14","17","117","667","254","255","158","0"
"Barstow","24,028","302","2","17","97","186","988","318","484","186","13"
"Bear Valley","5,497","5","0","3","0","2","59","11","47","1","0"
"Beaumont","46,856","182","1","18","19","144","872","195","561","116","2"
"Bell","35,925","228","0","17","78","133","652","153","348","151","0"
"Bellflower","77,984","363","5","16","158","184","1,988","418","1,065","505","13"
"Bell Gardens","42,930","100","2","5","47","46","749","87","342","320","6"
"Belmont","27,285","39","1","4","7","27","377","49","296","32","8"
"Belvedere","2,131","0","0","0","0","0","11","0","11","0","0"
"Benicia","28,370","28","0","6","12","10","472","129","273","70","1"
"Berkeley","122,687","666","1","83","364","218","6,020","843","4,556","621","30"
"Beverly Hills","34,781","118","0","10","50","58","1,819","402","1,318","99","6"
"Big Bear","5,270","52","1","8","4","39","178","49","112","17","3"
"Biggs","1,700","17","0","2","0","15","26","7","12","7","0"
"Bishop","3,767","44","0","10","5","29","296","68","217","11","0"
"Blythe","19,572","62","0","13","16","33","805","264","492","49","27"
"Bradbury","1,084","1","0","0","1","0","7","3","4","0","0"
"Brawley","26,342","176","0","11","12","153","892","146","680","66","16"
"Brea","43,000","114","2","8","39","65","1,440","180","1,160","100","1"
"Brentwood","62,120","157","0","11","45","101","1,489","273","1,084","132","5"
"Brisbane","4,764","12","0","0","5","7","128","67","49","12","1"
"Broadmoor","4,438","21","0","2","5","14","77","28","37","12","0"
"Buellton","5,139","6","0","0","2","4","76","14","55","7","0"
"Buena Park","83,552","292","1","9","96","186","2,814","299","2,115","400","15"
"Burbank","104,622","253","0","20","86","147","2,944","355","2,344","245","16"
"Burlingame","30,551","74","1","19","17","37","895","119","670","106","4"
"Calabasas","24,295","30","0","14","9","7","330","63","248","19","2"
"Calexico","40,499","89","0","3","21","65","1,280","486","581","213","38"
"California City","13,753","88","1","3","16","68","341","180","122","39","2"
"Calimesa","8,737","12","1","0","6","5","248","42","175","31","0"
"Calistoga","5,336","9","0","0","0","9","79","25","46","8","0"
"Camarillo","67,714","107","1","8","42","56","1,086","182","826","78","6"
"Campbell","41,192","102","1","19","27","55","1,340","247","917","176","12"
"Canyon Lake","11,227","16","0","0","0","16","115","22","65","28","2"
"Capitola","10,222","34","1","5","14","14","622","50","540","32","6"
